시도교육청코드,시도교육청명,표준학교코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221116,1800,차조밥(초)  <br/>미니도넛  (1.2.5.6.13.)<br/>육개장*  (1.5.6.8.13.16.)<br/>건파래볶음(오븐)건강식단  (13.)<br/>두부김치(초)  (5.9.10.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,536.5 Kcal,탄수화물(g) : 64.1<br/>단백질(g) : 27.9<br/>지방(g) : 16.2<br/>비타민A(R.E) : 54.7<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 6.8<br/>칼슘(mg) : 218.6<br/>철분(mg) : 4.3,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221115,1800,찹쌀밥(초)  <br/>단호박크림스프(건강식단)  (2.5.6.13.)<br/>우무야채무침*  (5.6.13.)<br/>수제치킨까스/소스(초)  (1.2.5.6.13.)<br/>깍두기  (9.13.)<br/>에이스요구르트  (2.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,659.7 Kcal,탄수화물(g) : 109.3<br/>단백질(g) : 27.0<br/>지방(g) : 13.0<br/>비타민A(R.E) : 244.1<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 14.0<br/>칼슘(mg) : 185.5<br/>철분(mg) : 2.1,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221114,1800,기장밥  <br/>돈육갈비김치찌개*  (5.9.10.13.)<br/>감자베이컨볶음*  (5.10.13.)<br/>삼치살엿장구이(오븐-건강식단)  (5.6.13.)<br/>오이김치  (9.13.)<br/>파인애플  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,590.1 Kcal,탄수화물(g) : 73.4<br/>단백질(g) : 34.0<br/>지방(g) : 18.4<br/>비타민A(R.E) : 63.2<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 29.6<br/>칼슘(mg) : 233.1<br/>철분(mg) : 2.7,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221111,1800,녹두밥  <br/>얼갈이배추된장국(건강식단)  (5.6.13.18.)<br/>우엉진미조림(초)  (5.6.13.17.)<br/>오리불고기(건강식단)  (5.6.13.)<br/>배추김치  (9.13.)<br/>사과(초)  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,554.5 Kcal,탄수화물(g) : 80.7<br/>단백질(g) : 24.4<br/>지방(g) : 15.8<br/>비타민A(R.E) : 146.5<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 9.4<br/>칼슘(mg) : 162.9<br/>철분(mg) : 4.9,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221110,1800,쇠고기무밥&양념장  (5.6.13.)<br/>팽이된장국*  (5.6.13.)<br/>생선커틀렛/타르소스1  (1.2.5.6.13.)<br/>배추김치  (9.13.)<br/>초코바  (1.2.5.6.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,718.0 Kcal,탄수화물(g) : 86.5<br/>단백질(g) : 20.0<br/>지방(g) : 33.1<br/>비타민A(R.E) : 106.2<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 9.3<br/>칼슘(mg) : 141.2<br/>철분(mg) : 2.8,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221109,1800,차수수밥(초)  <br/>콩비지찌개  (5.9.10.)<br/>꽃맛살샐러드  (1.5.6.8.12.13.18.)<br/>순대야채볶음  (2.5.6.10.13.)<br/>열무김치  (9.13.)<br/>과일젤리쥬스(복숭아)  (5.11.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,602.5 Kcal,탄수화물(g) : 101.8<br/>단백질(g) : 17.4<br/>지방(g) : 15.5<br/>비타민A(R.E) : 163.3<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 11.3<br/>칼슘(mg) : 197.0<br/>철분(mg) : 6.5,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221108,1800,차조밥(초)  <br/>스파게티/부식(초)  (1.2.5.6.10.12.13.15.16.)<br/>마늘빵  (2.5.6.13.)<br/>우렁된장국*  (5.6.)<br/>닭봉조림2(초)  (5.6.13.15.)<br/>깍두기  (9.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,753.0 Kcal,탄수화물(g) : 101.1<br/>단백질(g) : 39.0<br/>지방(g) : 21.9<br/>비타민A(R.E) : 130.9<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 12.2<br/>칼슘(mg) : 347.5<br/>철분(mg) : 4.4,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221107,1800,흑미밥  <br/>아욱된장국(중)  (5.6.9.13.)<br/>돈육고추장불고기  (5.6.10.13.)<br/>고구마그라탕(오븐-건강식단)  (2.5.6.10.13.)<br/>배추김치  (9.13.)<br/>짜먹는요구르트  (2.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,535.8 Kcal,탄수화물(g) : 80.8<br/>단백질(g) : 26.8<br/>지방(g) : 13.8<br/>비타민A(R.E) : 296.3<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 19.6<br/>칼슘(mg) : 188.3<br/>철분(mg) : 2.7,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221104,1800,발아현미밥(초)  <br/>삼색수제비국  (5.6.13.)<br/>안동찜닭(살)  (5.6.12.13.15.)<br/>옥수수팬구이(오븐)(건강식단)  (1.2.5.)<br/>배추김치  (9.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,642.5 Kcal,탄수화물(g) : 106.8<br/>단백질(g) : 31.9<br/>지방(g) : 14.3<br/>비타민A(R.E) : 110.5<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 8.5<br/>칼슘(mg) : 194.5<br/>철분(mg) : 3.2,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221103,1800,자장면(초)  (5.6.10.13.16.)<br/>만두탕수(초)  (1.5.6.10.12.13.)<br/>깍두기  (9.)<br/>귤  <br/>요거타임(딸기)  (2.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,711.9 Kcal,탄수화물(g) : 111.0<br/>단백질(g) : 19.9<br/>지방(g) : 22.7<br/>비타민A(R.E) : 204.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 1.2<br/>비타민C(mg) : 42.6<br/>칼슘(mg) : 323.0<br/>철분(mg) : 4.7,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221102,1800,기장밥  <br/>오징어찌개(건강식단)  (5.6.13.)<br/>콩나물오색채(건강식단)  (1.5.6.13.)<br/>비엔나파스타볶음  (1.2.5.6.10.12.13.18.)<br/>배추김치  (9.13.)<br/>찹쌀경단  (1.2.5.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,626.4 Kcal,탄수화물(g) : 92.6<br/>단백질(g) : 25.7<br/>지방(g) : 17.2<br/>비타민A(R.E) : 126.0<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.2<br/>비타민C(mg) : 27.9<br/>칼슘(mg) : 245.0<br/>철분(mg) : 2.9,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221101,1800,차조밥(초)  <br/>미니붕어빵  (1.2.5.6.13.)<br/>바지락미역국*  (5.6.)<br/>매운돼지갈비찜(건강식단)  (5.6.10.13.)<br/>오이부추무침(건강식단)  (5.6.13.)<br/>배추김치  (9.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,521.2 Kcal,탄수화물(g) : 76.4<br/>단백질(g) : 26.2<br/>지방(g) : 12.4<br/>비타민A(R.E) : 105.9<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 7.3<br/>칼슘(mg) : 196.2<br/>철분(mg) : 4.0,20221107
